================================================================================
功能性隐藏指令归类统计报告 (细粒度 Opcode)
================================================================================

总处理/确认隐藏指令数: 54,281,388
Type A (完全未定义): 6,097,123
Type B (格式不符): 48,184,265

--------------------------------------------------------------------------------
Opcode 归类结果 (已忽略条件码):
唯一 Opcode 数量: 7,214
--------------------------------------------------------------------------------

Opcode       | Instruction Name                                             | Count
0x00B60006 | LDRHT                                                        | 1,415
0x00B6000F | LDRSHT                                                       | 1,415
0x00300005 | LDRHT                                                        | 1,414
0x0030000D | LDRSHT                                                       | 1,414
0x00B50006 | LDRHT                                                        | 1,414
0x00B5000C | LDRHT                                                        | 1,414
0x0025000E | STRHT                                                        | 1,414
0x00300009 | LDRSHT                                                       | 1,413
0x0031000B | LDRSBT                                                       | 1,413
0x00B4000F | LDRSHT                                                       | 1,413
0x00B60008 | LDRSBT                                                       | 1,413
0x00B6000A | LDRSHT                                                       | 1,413
0x0025000D | STRHT                                                        | 1,413
0x00300008 | LDRSHT                                                       | 1,412
0x00300006 | LDRSBT                                                       | 1,412
0x0031000A | LDRHT                                                        | 1,412
0x0033000E | LDRSBT                                                       | 1,412
0x00B5000F | LDRSBT                                                       | 1,412
0x00B6000E | LDRSBT                                                       | 1,412
0x00260007 | STRHT                                                        | 1,412
0x00A0000F | STRHT                                                        | 1,412
0x00B50000 | LDRSBT                                                       | 1,411
0x00210004 | STRHT                                                        | 1,411
0x00300004 | LDRHT                                                        | 1,410
0x00310006 | LDRSHT                                                       | 1,410
0x00340001 | LDRHT                                                        | 1,410
0x0035000F | LDRSBT                                                       | 1,410
0x0036000E | LDRSHT                                                       | 1,410
0x00B50000 | LDRSHT                                                       | 1,410
0x00B5000C | LDRSBT                                                       | 1,410
0x00B6000E | LDRHT                                                        | 1,410
0x00B6000D | LDRSHT                                                       | 1,410
0x00B6000E | LDRSHT                                                       | 1,410
0x00300005 | LDRSHT                                                       | 1,409
0x00300006 | LDRSHT                                                       | 1,409
0x0030000C | LDRSHT                                                       | 1,409
0x0031000F | LDRHT                                                        | 1,409
0x0031000E | LDRSHT                                                       | 1,409
0x00310000 | LDRSBT                                                       | 1,409
0x0033000B | LDRSBT                                                       | 1,409
0x00350009 | LDRSBT                                                       | 1,409
0x0036000F | LDRSHT                                                       | 1,409
0x00B6000B | LDRHT                                                        | 1,409
0x00B60006 | LDRSHT                                                       | 1,409
0x00210008 | STRHT                                                        | 1,409
0x00250009 | STRHT                                                        | 1,409
0x0030000D | LDRHT                                                        | 1,408
0x00310007 | LDRSBT                                                       | 1,408
0x0033000A | LDRSBT                                                       | 1,408
0x0036000B | LDRSBT                                                       | 1,408
0x00B5000E | LDRHT                                                        | 1,408
0x00B6000C | LDRSBT                                                       | 1,408
